Datetime,ProduceType,InputLevel,SpendResource,Type,ID,Name,Rank
2021-10-11 19:17:12,EQUIP,NORMAL,180/20/200/20,CLOAK,87,Ragged Cape,★★
2021-10-12 22:53:40,GUN,NORMAL,400/91/400/30,SMG,92,Spectre M4,★★
2021-10-12 22:53:40,GUN,NORMAL,400/91/400/30,RF,47,G43,★★
2021-10-12 22:53:40,GUN,NORMAL,400/91/400/30,AR,133,Type63,★★
2021-10-12 22:53:40,GUN,NORMAL,400/91/400/30,SMG,93,IDW,★★
2021-10-12 22:54:00,GUN,NORMAL,400/91/400/30,RF,51,FF FN49,★★
2021-10-12 22:54:00,GUN,NORMAL,400/91/400/30,AR,61,StG44,★★★
2021-10-12 22:54:00,GUN,NORMAL,400/91/400/30,RF,43,SVD,★★★★
2021-10-12 22:54:00,GUN,NORMAL,400/91/400/30,RF,47,G43,★★
2021-10-12 22:54:09,GUN,NORMAL,400/91/400/30,AR,107,FF F2000,★★
2021-10-12 22:54:09,GUN,NORMAL,400/91/400/30,SMG,24,PP-2000,★★
2021-10-12 22:54:09,GUN,NORMAL,400/91/400/30,RF,34,M1 Garand,★★★
2021-10-12 22:54:09,GUN,NORMAL,400/91/400/30,RF,305,Tabuk,★★★★
2021-10-12 22:54:21,EQUIP,NORMAL,180/20/200/20,CLOAK,89,Urban Camouflage Cape,★★★★
2021-10-12 22:54:21,EQUIP,NORMAL,180/20/200/20,CLOAK,87,Ragged Cape,★★
2021-10-12 22:54:21,EQUIP,NORMAL,180/20/200/20,CLOAK,87,Ragged Cape,★★
2021-10-12 22:54:21,EQUIP,NORMAL,180/20/200/20,CLOAK,87,Ragged Cape,★★
2021-10-12 23:42:16,GUN,NORMAL,400/91/400/30,SMG,24,PP-2000,★★
2021-10-12 23:42:16,GUN,NORMAL,400/91/400/30,RF,37,M14,★★★
2021-10-12 23:42:16,GUN,NORMAL,400/91/400/30,SMG,25,MP40,★★
2021-10-12 23:42:16,GUN,NORMAL,400/91/400/30,AR,68,L85A1,★★
2021-10-12 23:42:22,GUN,NORMAL,400/91/400/30,RF,34,M1 Garand,★★★
2021-10-12 23:42:24,GUN,NORMAL,400/91/400/30,RF,270,4 Shiki,★★★★
2021-10-12 23:42:34,GUN,NORMAL,400/91/400/30,SMG,92,Spectre M4,★★
2021-10-12 23:42:36,GUN,NORMAL,400/91/400/30,RF,47,G43,★★
2021-10-12 23:42:40,GUN,NORMAL,400/91/400/30,RF,51,FF FN49,★★
2021-10-12 23:42:43,GUN,NORMAL,400/91/400/30,RF,305,Tabuk,★★★★
2021-10-12 23:42:47,GUN,NORMAL,400/91/400/30,SMG,94,Type64,★★
2021-10-13 00:30:53,GUN,NORMAL,400/91/400/30,RF,51,FF FN49,★★
2021-10-13 00:30:53,GUN,NORMAL,400/91/400/30,SMG,93,IDW,★★
2021-10-13 00:30:53,GUN,NORMAL,400/91/400/30,AR,61,StG44,★★★
2021-10-13 00:30:53,GUN,NORMAL,400/91/400/30,SMG,24,PP-2000,★★
2021-10-13 00:30:58,GUN,NORMAL,400/91/400/30,RF,47,G43,★★
2021-10-13 00:31:04,GUN,NORMAL,400/91/400/30,SMG,92,Spectre M4,★★
2021-10-13 00:31:04,GUN,NORMAL,400/91/400/30,RF,37,M14,★★★
