event_id,datetime,prize_id,prize
318,2022-02-07 14:17:55,804,Ammo*100
318,2022-02-07 14:17:55,814,Token*3
318,2022-02-07 14:17:55,816,Enhancement Capsule*2
318,2022-02-07 14:17:55,811,Parts*200
318,2022-02-07 14:17:57,819,Dummy Core*1
318,2022-02-07 14:17:57,805,Ammo*200
318,2022-02-07 14:17:57,807,Rations*100
318,2022-02-07 14:17:57,805,Ammo*200
318,2022-02-07 14:17:57,804,Ammo*100
318,2022-02-07 14:17:57,879,Memory Fragment*20
318,2022-02-07 14:17:57,807,Rations*100
318,2022-02-07 14:17:57,818,Enhancement Capsule*4
318,2022-02-07 14:17:57,803,Manpower*300
318,2022-02-07 14:17:57,801,Manpower*100
318,2022-02-07 14:17:58,811,Parts*200
318,2022-02-07 14:17:58,810,Parts*100
318,2022-02-07 14:17:58,808,Rations*200
318,2022-02-07 14:17:58,837,Calibration Ticket*20
318,2022-02-07 14:17:58,920,Pure Sample
318,2022-02-07 14:17:58,837,Calibration Ticket*20
318,2022-02-07 14:17:58,919,Original Sample
318,2022-02-07 14:17:58,834,Advanced Training Data*30
318,2022-02-07 14:17:58,809,Rations*300
318,2022-02-07 14:17:58,40154,prize-10040154
318,2022-02-09 00:58:40,822,T-Doll Contract*1
318,2022-02-09 00:58:40,804,Ammo*100
318,2022-02-09 00:58:40,818,Enhancement Capsule*4
318,2022-02-09 00:58:40,816,Enhancement Capsule*2
318,2022-02-09 00:58:40,811,Parts*200
318,2022-02-09 00:58:40,816,Enhancement Capsule*2
318,2022-02-09 00:58:40,821,Dummy Core*3
318,2022-02-09 00:58:40,810,Parts*100
318,2022-02-09 00:58:40,807,Rations*100
318,2022-02-09 00:58:40,827,Basic Training Data*20
318,2022-02-09 00:58:41,817,Enhancement Capsule*3
318,2022-02-09 00:58:41,817,Enhancement Capsule*3
318,2022-02-09 00:58:41,817,Enhancement Capsule*3
318,2022-02-09 00:58:41,820,Dummy Core*2
318,2022-02-09 00:58:41,833,Advanced Training Data*20
318,2022-02-09 00:58:41,808,Rations*200
318,2022-02-09 00:58:41,807,Rations*100
318,2022-02-09 00:58:41,833,Advanced Training Data*20
318,2022-02-09 00:58:41,834,Advanced Training Data*30
318,2022-02-09 00:58:41,834,Advanced Training Data*30
318,2022-02-09 00:58:42,825,Quick Repair*1
318,2022-02-09 00:58:42,801,Manpower*100
318,2022-02-09 00:58:42,828,Basic Training Data*30
318,2022-02-09 00:58:42,801,Manpower*100
318,2022-02-09 00:58:42,839,Battery*20
318,2022-02-09 00:58:42,920,Pure Sample
318,2022-02-09 00:58:42,921,Quick Analysis Contract
318,2022-02-09 00:58:42,810,Parts*100
318,2022-02-09 00:58:42,805,Ammo*200
318,2022-02-09 00:58:42,40289,prize-10040289
318,2022-02-09 00:58:43,824,Quick Production*1
318,2022-02-09 00:58:43,920,Pure Sample
318,2022-02-09 00:58:43,827,Basic Training Data*20
318,2022-02-09 00:58:43,833,Advanced Training Data*20
318,2022-02-09 00:58:43,830,Intermediate Training Data*20
318,2022-02-09 00:58:43,878,Memory Fragment*10
318,2022-02-09 00:58:43,808,Rations*200
318,2022-02-09 00:58:43,811,Parts*200
318,2022-02-09 00:58:43,822,T-Doll Contract*1
318,2022-02-09 00:58:43,827,Basic Training Data*20
318,2022-02-09 00:58:44,840,Battery*30
318,2022-02-09 00:58:44,805,Ammo*200
318,2022-02-09 00:58:44,805,Ammo*200
318,2022-02-09 00:58:44,808,Rations*200
